             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE              SIDE              COMMENT        ,,,,,,,,,,,,,,,,,,,,,,
                         28202 2022-05-27   10:54:24  10:54:35     11      BCM-949510AI013     GOOD     KohYoung ZOO                  L10 T,,,,,,,,,,,,,,,,,,,,,,
Component ID,Volume(%),Height(um),Area(%),OffsetX(mm),OffsetY(mm),Barcode,  Date  , Time ,Job,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm),Library_Name,Result,Spec,PinNumber,Image
C16,117.512,129.708,108.717,0.005,-0.003,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.254,0.2032,1100009002-03,GOOD,,1,
C16,122.749,140.737,104.662,0.005,-0.003,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.254,0.2032,1100009002-03,GOOD,,2,
C17,127.024,142.696,106.821,0.006,0.001,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.3544,0.3252,1100008245-02,GOOD,,1,
C17,126.837,146.711,103.744,0.005,0,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.3544,0.3252,1100008245-02,GOOD,,2,
C18,119.378,131.78,108.706,0.013,-0.006,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.2032,0.254,1100009002-03,GOOD,,1,
C18,120.919,136.891,105.999,0.017,-0.008,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.2032,0.254,1100009002-03,GOOD,,2,
C19,115.461,128.934,107.461,0,0.001,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.2032,0.254,1100009002-03,GOOD,,1,
C19,115.399,132.449,104.553,0.004,0.006,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.2032,0.254,1100009002-03,GOOD,,2,
C20,112.569,127.571,105.889,0.003,-0.002,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.254,0.2032,1100009002-03,GOOD,,1,
C20,109.404,125.093,104.95,0.001,-0.003,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.254,0.2032,1100009002-03,GOOD,,2,
